epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,14008.1,0.90035,3.01365,1.39279,0.86327,0.78192,0.84735,0.66658,0.99054,2.9507,1.67397,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
87,14161.6,0.90435,3.02691,1.39018,0.83727,0.82101,0.86636,0.66916,1.01123,2.88843,1.68152,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
88,14313.7,0.89374,2.99449,1.39188,0.86455,0.7948,0.86052,0.66242,1.01464,2.81023,1.68959,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
89,14466.8,0.89492,3.00795,1.38952,0.83597,0.81944,0.87335,0.67866,0.99385,2.8193,1.67001,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
90,14618.9,0.89393,3.00082,1.39371,0.89957,0.77706,0.86205,0.67158,1.0083,2.92191,1.68938,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131
91,14772.2,0.89028,2.98838,1.38473,0.89376,0.77434,0.85626,0.66273,1.00918,2.92,1.69854,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
92,14925,0.89117,3.03,1.38446,0.85625,0.78452,0.86177,0.66614,0.99755,3.02756,1.68654,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744
93,15077,0.88268,2.93489,1.38043,0.88311,0.78732,0.85542,0.67216,0.99516,2.84371,1.69065,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
94,15229.6,0.88164,2.95191,1.37656,0.88558,0.80502,0.86119,0.67871,1.00173,2.81918,1.68593,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
95,15383.2,0.89036,2.95456,1.38368,0.85354,0.81091,0.85274,0.67521,1.02345,2.86803,1.72175,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
96,15539.7,0.88303,2.90394,1.3754,0.902,0.79602,0.87052,0.68564,1.01081,2.78844,1.70814,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
97,15693.2,0.88337,2.89103,1.37828,0.87287,0.80767,0.86701,0.6908,0.98916,2.78572,1.67235,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
98,15848.2,0.87198,2.8708,1.36884,0.87641,0.81137,0.86526,0.68464,0.99705,2.85344,1.69656,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843
99,16044.7,0.8661,2.83723,1.36032,0.88834,0.79562,0.86037,0.68177,1.00972,2.85333,1.69915,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
100,16196.7,0.8648,2.85078,1.36728,0.90557,0.78729,0.86889,0.67824,1.00316,2.85189,1.68775,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
101,16349.1,0.86648,2.87838,1.36707,0.87586,0.81364,0.86661,0.68214,1.01685,2.83141,1.69663,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,16502.2,0.87208,2.88236,1.36957,0.85051,0.83099,0.86173,0.67391,1.00679,2.90888,1.69717,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997
103,16654.9,0.86736,2.83689,1.36771,0.87657,0.80194,0.86163,0.67823,1.00378,2.7787,1.69809,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
104,16806.7,0.86293,2.86586,1.36383,0.82928,0.80082,0.84822,0.63377,1.00708,2.87527,1.70174,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913
105,17007,0.86672,2.85047,1.36314,0.87498,0.81317,0.86749,0.67335,0.98596,2.83637,1.66876,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
106,17196.4,0.86015,2.81174,1.35927,0.89252,0.79029,0.86731,0.68254,1.01488,2.95725,1.71856,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
107,17350.7,0.85482,2.78413,1.35695,0.85082,0.82957,0.87035,0.68385,0.99198,2.78991,1.68539,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
108,17506.6,0.84453,2.71783,1.34875,0.83792,0.83614,0.86915,0.68378,0.9974,2.74292,1.6885,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439
109,17660,0.85614,2.81112,1.36164,0.89942,0.78513,0.86581,0.6816,1.00099,2.69519,1.68004,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
110,17815.6,0.85699,2.80374,1.36037,0.91135,0.78199,0.87282,0.69291,0.99284,2.72523,1.67862,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059
111,17968.3,0.83652,2.71547,1.34829,0.85315,0.80943,0.86843,0.68889,0.99524,2.7153,1.67726,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
112,18123.7,0.85098,2.74793,1.35328,0.86712,0.81296,0.8656,0.69242,0.99713,2.73729,1.68526,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
113,18277.8,0.84335,2.75493,1.35463,0.87745,0.80939,0.86699,0.69187,0.98853,2.77001,1.67541,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
114,18432.1,0.84863,2.74192,1.35397,0.89306,0.79299,0.86782,0.69196,1.00169,2.80785,1.68504,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031
115,18585.7,0.83128,2.70026,1.34109,0.89895,0.79148,0.8613,0.68851,1.00376,2.95665,1.69947,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
116,18738.4,0.82261,2.63563,1.33777,0.9027,0.79177,0.86369,0.68578,0.99592,2.92037,1.68991,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
117,18892.5,0.83889,2.70417,1.34848,0.88964,0.80092,0.85945,0.68502,0.99421,2.80707,1.68858,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
